,user_id,user_screen_name,user_name,words,personality_type
0,1414280319465885696,neteyawntu,liana.com,"['add', 'mbti', 'add', 'four', 'character', 'mbti', 'entp']",ENTP
1,1246105934826336256,lvffyasce,cey,"['add', 'mbti', 'put', '4', 'character', 'type', 'entp']",ENTP
2,1637758335486132224,vinribbon,vin 💫 VNC COMEBACK,"['vanitas', 'im', 'entp', 'trust', 'adhd', 'developing', 'personality', 'disorder']",ENTP
3,1650468001756614656,Sneha_117,Snehanjali Panigrahy,"['hence', 'infj', 'amp', 'intj', 'make', 'good', 'friendship', 'due', 'similarity', 'infj', 'amp', 'entp', 'make', 'good', 'partnership', 'due', 'complementary', 'nature']",ENTP
4,1650468001756614656,Sneha_117,Snehanjali Panigrahy,"['see', 'comparison', 'infj', 'amp', 'intj', 'share', 'ni', 'view', 'world', 'weaknessse', 'infj', 'fe', 'help']",ENTP
5,1309194522014908419,Kae910_,🧷KaeƸ̵̡⁠Ӝ̵̨̄⁠Ʒ Documental de mi decadencia mental,"['rt', '๑๑', 'hello', 'luca', 'sunny', 'play', 'idv', 'ask', 'id', '18', 'old', 'entp', 'im', 'cosp']",ENTP
6,1355268729152577537,Netty_yeager,Netty | yeager.eth,"['gm', 'entp', 'good', 'see', 'back', 'hallucinogenseth', '099', 'ultimatepokereth', '05', 'resumehelpeth', '035']",ENTP
7,1361494376388595715,jenhhsi,ً,"['hi', 'im', 'yze', 'headphone', '15', 'filo', 'ambivert', 'entp']",ENTP
8,1430708542911225857,sooboots,Bella Hadid,"['think', 'ur', 'entp', 'bcz', 'u', 'dont', 'gaf']",ENTP
9,1430708542911225857,sooboots,Bella Hadid,['entp'],ENTP
10,1222305103824277504,ara_monique5,𝓐𝓇𝒶 𝓜𝑜𝓃𝒾𝓆𝓊𝑒 🏹🏛,"['add', 'mbti', 'add', 'four', 'character', 'mbti', 'entp']",ENTP
11,1530085527034408960,aroshizue,keris ☆,"['reply', 'tweet', 'tama', 'pic', 'cause', 'really', 'need', 'female', 'entp', 'character']",ENTP
12,1530085527034408960,aroshizue,keris ☆,"['entp', 'pdb', 'say', 'akira', 'entp', 'dont', 'get', 'vibe', 'im', 'lazy', 'search', 'stuff', 'new', 'image', 'im']",ENTP
13,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"['_ツ_', 'forgive', 'b', 'forget', 'c', 'cut', 'depends']",ENTP
14,1275430816500203522,ayatosbobamilk,deb ⟡,"['entp', 'behaviour']",ENTP
